time_of_day,download_time_in_s,upload_time_in_s,download_time_from_germany_in_s,download_time_from_switzerland_in_s,ping0_in_ms,ping1_in_ms,ping2_in_ms,ping3_in_ms,ping4_in_ms,ping5_in_ms,ping6_in_ms,ping7_in_ms,ping8_in_ms,ping9_in_ms
78,17.608,22.466,14.427,63.315,1.983,1.162,1.241,2.01,1.251,1.253,2.001,1.262,1.268,1.691
252,21.468,42.127,8.344,63.148,0.945,1.233,1.445,1.567,1.773,1.228,1.24,8.508,4.092,7.565
413,18.958,22.718,7.778,72.772,0.993,1.082,1.28,1.265,2.349,1.256,1.256,1.329,1.289,1.27
580,17.879,18.221,13.611,77.513,1.219,1.207,1.265,1.222,2.698,1.264,1.216,1.278,1.235,1.216
758,17.798,18.895,10.488,92.33500000000001,15.31,1.235,1.239,1.12,1.197,1.267,1.274,1.573,1.338,2.259
928,17.742,18.297,9.528,85.245,0.955,1.234,1.208,1.234,1.241,1.245,1.224,1.203,1.178,1.524
1087,18.146,24.691,8.208,68.549,0.952,1.385,1.245,1.563,1.689,2.066,1.219,1.221,1.422,1.572
1248,17.754,19.158,6.797,76.149,38.309,1.136,1.135,1.246,1.258,1.251,1.534,1.233,1.445,-1
1427,17.953,34.099,11.46,76.746,8.914,5.755,5.951,4.319,6.578,7.465,4.759,4.896,5.418,4.049
1604,17.691,38.99,10.711,69.091,0.982,1.236,1.262,8.282,8.76,8.767,8.878,6.203,6.8,-1
1763,17.811,17.911,11.239,72.646,2.512,1.258,1.259,1.243,1.732,1.25,1.259,1.279,1.257,1.265
1922,17.569,17.982,12.761,71.395,0.948,2.906,1.323,1.237,1.147,1.225,1.533,1.238,1.106,1.215
2079,17.677,19.067,15.401,65.913,1.045,1.313,1.451,2.213,1.658,1.271,1.28,1.227,1.53,1.243
2232,17.563,18.817,12.95,65.061,1.02,1.249,1.263,1.237,1.243,1.256,1.204,1.234,1.161,1.228
2407,18.171,29.057,17.694,70.49,8.963,8.542,8.777,9.303,7.085,6.462,5.91,16.674,41.067,40.505
2579,18.625,32.583,8.984,73.037,0.968,1.254,1.631,1.233,1.263,1.214,1.224,1.279,1.254,1.208
2735,17.736,18.259,6.776,73.82300000000001,2.601,1.117,1.205,1.217,1.238,1.232,1.231,1.254,1.266,1.262
2888,17.697,19.531,8.881,68.218,0.968,1.235,1.621,1.54,1.933,1.66,1.262,1.276,1.21,2.524
3050,17.629,18.842,9.822,76.52199999999999,38.219,40.507,42.318,37.419,38.01,1.254,1.251,1.243,1.219,1.792
3219,18.727,27.749,7.243,76.545,1.006,1.289,1.266,1.232,1.306,1.24,1.432,1.278,1.276,1.256
3379,17.628,18.563,11.787,73.209,2.423,1.424,1.245,1.232,1.286,1.829,1.835,1.243,1.265,1.35
3527,17.41,21.299,7.447,62.679,0.97,1.284,1.263,1.276,1.112,1.249,1.252,1.293,1.249,1.259
3706,17.838,19.733,6.701,95.616,48.248,37.979,40.411,40.36,42.808,37.177,40.228,1.261,1.23,1.282
3912,17.9,19.155,7.25,122.659,42.366,43.254,39.659,35.535,38.881,41.015,38.159,41.352,36.581,50.009
4066,17.725,19.176,6.856,70.884,3.521,1.241,1.261,1.777,1.253,1.232,1.229,1.234,1.219,1.168
4220,18.487,18.525,7.375,71.258,45.045,40.115,37.006,40.838,44.003,39.093,41.446,1.251,1.231,1.237
4379,18.533,18.477,7.013,75.13,2.164,1.604,1.262,1.267,1.282,1.279,1.277,1.255,1.165,1.205
4582,17.654,18.821,12.904,114.661,2.237,1.288,6.916,1.221,1.209,1.214,1.242,1.214,1.218,1.249
4733,18.308,17.734,7.576,69.087,3.329,1.286,1.277,1.274,1.267,1.203,1.584,1.284,1.274,1.253
4889,17.678,18.653,7.021,71.417,0.968,1.209,1.251,1.274,1.259,1.273,1.185,1.232,3.351,-1
5056,18.027,19.189,8.175,82.68299999999999,2.348,1.63,1.35,1.237,1.225,1.258,1.16,1.43,1.255,1.215
5218,17.676,18.825,8.098,78.5,1.697,3.008,1.784,1.549,1.432,1.277,2.008,2.034,1.661,1.252
5386,17.527,19.411,12.73,78.816,0.977,1.202,1.553,1.221,2.482,1.635,1.278,1.557,1.25,1.252
