time_of_day,download_time_in_s,upload_time_in_s,download_time_from_germany_in_s,download_time_from_switzerland_in_s,ping0_in_ms,ping1_in_ms,ping2_in_ms,ping3_in_ms,ping4_in_ms,ping5_in_ms,ping6_in_ms,ping7_in_ms,ping8_in_ms,ping9_in_ms
140,17.266,17.909,9.445,116.71000000000001,2.438,1.156,2.735,1.126,1.018,1.155,1.126,1.095,1.098,1.149
331,18.783,30.85,10.399,91.913,0.957,1.164,2.318,1.117,1.155,1.165,1.093,1.221,1.159,1.096
552,17.456,34.879,16.406,113.765,7.951,9.444,9.146,5.166,3.623,5.522,5.842,5.53,4.77,4.568
744,17.512,19.804,7.404,108.34899999999999,0.965,3.184,1.352,2.096,1.494,1.725,1.977,1.444,1.159,1.15
929,17.42,19.334,7.631,101.27199999999999,18.56,1.149,1.151,1.137,1.221,1.163,1.128,1.14,1.183,1.124
1106,17.353,19.275,7.658,93.71600000000001,2.226,1.126,1.128,1.164,1.186,4.509,1.178,1.119,1.207,2.018
1299,17.314,17.842,6.82,109.548,5.339,1.16,1.346,1.184,1.259,1.177,1.574,1.126,1.167,-1
1485,17.878,20.379,10.124,98.908,2.554,1.328,1.936,1.289,1.312,1.863,1.432,1.292,1.291,1.221
1690,17.897,25.176,13.371,109.13900000000001,2.118,1.106,1.161,1.16,1.155,1.174,1.162,1.157,1.188,1.142
1881,17.373,29.962,12.706,92.101,9.421,7.419,3.958,10.438,8.668,10.421,8.589,7.72,8.209,34.668
2072,17.486,19.61,11.51,101.468,3.707,1.567,1.576,1.138,1.14,1.415,1.117,1.222,1.873,-1
2278,17.332,19.13,11.407,118.862,5.977,1.571,3.56,1.151,1.112,2.115,1.724,1.145,1.152,1.608
2482,17.5,17.712,10.618,119.824,2.074,1.154,1.184,1.153,1.147,1.165,1.085,1.063,1.177,1.169
2708,18.781,39.727,10.113,117.78999999999999,9.921,1.136,1.143,1.112,4.458,7.174,9.593,8.769,8.515,8.309
2914,17.378,19.478,16.292,113.63,2.299,2.545,1.086,1.169,1.082,1.122,1.153,1.103,1.115,2.116
3125,17.374,18.095,9.72,126.868,2.758,2.133,1.126,1.149,1.14,1.144,1.114,1.13,1.139,1.121
3340,17.353,38.543,11.32,109.31,2.09,5.923,9.434,6.274,6.81,9.418,5.131,5.156,5.701,6.072
3556,17.462,20.252,8.208,130.326,4.435,1.176,1.118,1.131,1.153,1.107,1.119,1.168,1.125,13.288
3739,17.299,18.009,14.721,93.703,2.48,1.162,1.155,1.097,0.993,1.133,1.849,1.138,1.151,1.153
3921,17.28,17.782,7.149,101.313,2.844,1.167,1.208,1.153,14.327,1.17,1.252,1.164,1.187,1.121
4093,17.405,18.332,8.275,88.706,3.749,1.138,1.522,1.807,1.149,1.327,1.094,1.552,1.123,2.343
4304,17.332,17.869,8.314,126.873,17.38,2.726,3.053,1.139,1.14,2.128,1.164,3.722,1.191,-1
4494,17.418,31.806,7.097,94.47200000000001,13.583,8.964,7.189,8.037,10.128,3.204,6.385,5.474,6.801,9.42
4667,17.337,18.689,7.714,90.211,9.132,1.113,1.15,1.136,1.262,1.787,1.028,1.121,1.093,2.244
4867,17.36,30.754,11.276,99.038,9.367,7.639,8.788,3.832,8.682,4.249,7.649,6.08,2.287,-1
5059,17.424,19.379,7.767,108.52799999999999,3.488,1.367,1.141,1.144,1.127,1.123,1.139,1.11,1.143,1.093
5234,17.334,18.528,8.7,91.822,2.37,1.124,2.318,1.174,2.438,2.438,1.177,1.153,1.187,1.131
5404,17.289,18.164,11.602,84.07300000000001,2.387,1.326,1.177,1.14,1.12,2.035,1.107,1.132,13.311,1.256
5574,17.282,17.899,12.042,82.929,0.996,0.863,1.945,1.127,1.079,1.897,1.149,1.086,1.16,2.106
5765,17.389,17.692,11.104,105.38,0.989,2.483,1.18,1.119,2.047,1.122,1.137,1.154,1.14,1.169
5969,30.463,33.519,8.431,92.968,0.941,1.147,1.127,1.142,1.179,1.025,2.274,4.34,9.811,4.514
6173,18.753,28.565,6.922,111.00399999999999,10.427,8.031,8.901,4.529,6.437,6.806,6.915,36.478,42.748,38.873
6383,18.856,18.628,6.957,126.196,3.919,1.162,1.112,1.131,1.818,1.082,1.093,1.136,1.143,1.621
6552,17.264,18.914,6.672,86.75,1.213,1.663,1.151,1.158,4.16,1.136,1.239,3.228,2.104,1.604
6725,17.248,17.639,7.359,91.91,2.263,1.134,1.439,1.185,1.125,1.16,1.182,1.162,1.166,1.435
6901,17.856,19.691,7.823,90.14699999999999,2.025,1.145,1.213,1.175,1.125,1.171,1.158,1.116,1.154,-1
7073,18.022,25.405,8.113,80.596,2.07,1.19,1.156,1.15,1.121,1.153,1.166,1.132,1.167,1.157
7259,18.026,29.346,8.384,91.245,2.06,1.162,1.12,1.14,1.119,1.104,1.125,1.155,1.171,1.22
7450,26.154,35.317,7.67,83.07,9.189,1.153,1.211,1.123,1.068,9.636,7.848,5.072,9.571,9.365
7620,17.393,24.473,10.404,78.53,40.255,38.138,41.242,39.604,39.135,38.077,39.185,39.018,39.482,39.77
7784,17.307,18.857,7.707,81.744,38.594,32.77,38.339,1.137,1.136,1.072,1.116,1.11,1.1,1.134
7966,17.443,19.541,10.041,95.813,0.951,1.135,1.115,2.588,1.107,1.178,2.417,1.121,1.075,1.499
8129,17.382,19.639,7.095,79.014,2.187,1.148,3.822,1.159,1.097,1.107,1.161,1.102,1.15,1.174
8297,17.38,19.649,14.113,78.523,3.407,1.365,1.349,3.122,2.661,1.071,1.987,1.661,1.689,2.527
